domain,url,blocks,total_words,median_block,largest_block,largest_share
abreu.pt,https://www.abreu.pt/,28,672,14.0,164,0.244
apolonia.com,https://www.apolonia.com/en/,2,101,50.5,51,0.505
apolonia.com,https://www.apolonia.com/pt/catalogo/34029/lombo-porco-recheado-com-alheira-kg/,3,122,53,54,0.443
apolonia.com,https://www.apolonia.com/en/,2,101,50.5,51,0.505
apolonia.com,https://www.apolonia.com/pt/catalogo/mercearia/farinhas/farinha-para-pao/,3,238,94,97,0.408
apolonia.com,https://www.apolonia.com/en/catalogue/drinks-wine-cellar/wine/white-wine/foreign-white-wine/u-s-a/,5,240,47,82,0.342
bikeplanet.pt,https://www.bikeplanet.pt/,101,1150,6,182,0.158
bikeplanet.pt,https://www.bikeplanet.pt/products/scott-road-team-boa%C2%AE-copia,8,773,87.5,213,0.276
bikeplanet.pt,https://www.bikeplanet.pt/products/assos-mille-gts-s11-homem,8,1129,87.5,571,0.506
bikeplanet.pt,https://www.bikeplanet.pt/products/scott-supra,8,677,87.5,182,0.269
bikeplanet.pt,https://www.bikeplanet.pt/pages/equipa,7,583,86,182,0.312
bricomarche.pt,https://www.bricomarche.pt,30,2501,20.0,1049,0.419
bricomarche.pt,https://www.bricomarche.pt/escolher-loja/?next=/produto/pavimentos-e-revestimentos/pavimentos/safari-gris-30-3x61-3-1-3m2/,10,1756,18.0,1049,0.597
bricomarche.pt,https://www.bricomarche.pt/escolher-loja/?next=/produto/ferragens/quinquilharia-de-fixacao/parafuso-pux-5x50-aco-z-9u/,10,1756,18.0,1049,0.597
bricomarche.pt,https://www.bricomarche.pt/potencia-em-kw/45-w/,11,1766,16,1049,0.594
bricomarche.pt,https://www.bricomarche.pt/escolher-loja/?next=/produto/colas-fitas-adesivas-silicones-e-espumas/fitas-adesivas/pattex-power-tape-cinza-5m/,10,1756,18.0,1049,0.597
clausporto.com,https://www.clausporto.com/,5,331,13,211,0.637
clausporto.com,https://www.clausporto.com/en-pt/collections/fragrances,2,348,174.0,209,0.601
clausporto.com,https://www.clausporto.com/en-us/collections/home,2,358,179.0,207,0.578
clausporto.com,https://www.clausporto.com/en-us/collections/a-time-of-discovery,2,365,182.5,207,0.567
clausporto.com,https://www.clausporto.com/en-pt/collections/best-sellers,2,343,171.5,209,0.609
comur.com,https://portuguesesardine.com/,7,574,26,362,0.631
comur.com,https://portuguesesardine.com/es/collections/timeless-sardines,4,213,51.5,92,0.432
comur.com,https://portuguesesardine.com/es/products/sardinas-del-tiempo-1922,8,514,61.5,101,0.196
comur.com,https://portuguesesardine.com/es/products/sardinas-del-tiempo-1989,8,511,61.5,98,0.192
comur.com,https://portuguesesardine.com/es/products/sardinas-del-tiempo-1979,8,508,61.5,95,0.187
coviran.pt,https://www.coviran.pt/,14,226,18.0,32,0.142
coviran.pt,https://www.coviran.es/recetas/fricase-expres-de-pollo-asado,9,283,13,175,0.618
coviran.pt,https://www.coviran.es/blog/coviran-reafirma-su-apoyo-a-la-labor-de-las-ong-que-luchan-por-mejorar-la-vida-de-los-mas-vulnerables,12,818,8.5,704,0.861
