domain,category
19thnews.org,news
404media.co,news
4gnews.pt,news
9to5mac.com,news
abcnews.go.com,news
abercrombie.com,ecommerce
abola.pt,news
abreu.pt,ecommerce
academy.com,ecommerce
acorianooriental.pt,news
activecampaign.com,saas
adage.com,news
adecco.pt,b2b
adegamayor.pt,ecommerce
adidas.com,ecommerce
adweek.com,news
aeiou.pt,news
aeo.com,ecommerce
airbnb.com,platform
airbrake.io,saas
airtable.com,saas
akamai.com,saas
alentejanas.pt,storefront
alento.pt,b2b
algarveprimeiro.com,news
allbirds.com,storefront
allclad.com,storefront
allmodern.com,ecommerce
alo.com,storefront
alojadacerveja.com,storefront
altis.pt,parked
altran.pt,parked
altri.pt,b2b
amalsoap.com,storefront
amazon.com,ecommerce
ambitur.pt,news
americanbanker.com,news
aminhaterra.pt,news
amorim.com,b2b
amplitude.com,saas
anandtech.com,news
androidauthority.com,news
androidcentral.com,news
antena1.rtp.pt,news
anthropic.com,saas
anthropologie.com,storefront
apnews.com,news
apolonia.com,ecommerce
apple.com,ecommerce
aptoide.com,platform
arcadia.pt,storefront
archive.org,reference
arcteryx.com,storefront
arrastao.blogs.sapo.pt,blog
arstechnica.com,news
articleusa.com,platform
artsoft.pt,saas
asana.com,saas
asenhoradomonte.com,blog
asreceitaslaporcasa.blogspot.com,blog
athleticgreens.com,storefront
ativa.sapo.pt,news
atlassian.com,saas
autohoje.com,parked
autosport.pt,news
autozitania.pt,ecommerce
aventar.eu,blog
avocadogreenmattress.com,storefront
away.com,storefront
aweber.com,saas
aws.amazon.com,saas
axios.com,news
azure.microsoft.com,saas
babynest.pt,storefront
backcountry.com,ecommerce
banana-republic.com,ecommerce
barbot.pt,b2b
barkyn.com,storefront
barlavento.pt,news
barrons.com,news
basspro.com,ecommerce
bbc.co.uk,news
bbc.com,news
bbdonna.com,storefront
bebitus.pt,ecommerce
beehiiv.com,saas
belk.com,ecommerce
bellagoma.pt,storefront
benzinga.com,news
berkeley.edu,education
bertrand.pt,ecommerce
bestbuy.com,ecommerce
bhldn.com,storefront
bhphotovideo.com,ecommerce
bial.com,b2b
bikeplanet.pt,ecommerce
bind.pt,saas
biond.pt,saas
biosfera.pt,saas
birchlane.com,ecommerce
bizay.com,ecommerce
bizdirect.pt,saas
blasfemias.net,blog
bloomberg.com,news
bloomingdales.com,ecommerce
blueapron.com,storefront
bluebottlecoffee.com,storefront
bluehost.com,saas
bohastore.pt,storefront
bolsapt.com,platform
bombas.com,storefront
bombfell.com,storefront
bonobos.com,storefront
booking.com,platform
bostonglobe.com,news
box.com,saas
braze.com,saas
brevo.com,saas
bricomarche.pt,ecommerce
briefing.pt,news
brightland.co,storefront
btech.pt,saas
buffy.co,storefront
bugsnag.com,saas
buildkite.com,saas
buondi.pt,ecommerce
burlington.com,ecommerce
burrow.com,storefront
