url,expected,text_chars,html_chars,script_chars,text_over_html,script_over_text,shell
https://observador.pt/,server,34217,1074027,68777,0.0319,2.01,False
https://sapo.pt/,server,18652,1203368,3457,0.0155,0.19,False
https://www.jn.pt/,server,1463,1437280,357048,0.001,244.05,False
https://www.dn.pt/,server,2901,1470134,972838,0.002,335.35,False
https://www.noticiasaominuto.com/,server,2298,169170,6895,0.0136,3.0,False
https://www.cmjornal.pt/,server,12151,241217,41067,0.0504,3.38,False
https://eco.sapo.pt/,server,9741,399981,46569,0.0244,4.78,False
https://www.record.pt/,server,17390,543391,72338,0.032,4.16,False
https://www.continente.pt/,server,22366,2065954,224887,0.0108,10.05,False
https://www.radiopopular.pt/,server,72822,1390989,5282,0.0524,0.07,False
https://www.outsystems.com/,server,13261,332324,26601,0.0399,2.01,False
https://unbabel.com/,server,6358,169699,15495,0.0375,2.44,False
https://www.talkdesk.com/,server,6194,556262,133696,0.0111,21.58,False
https://www.feedzai.com/,server,6458,146897,20711,0.044,3.21,False
https://remote.com/,server,10304,659336,358200,0.0156,34.76,False
https://en.wikipedia.org/wiki/Portugal,server,254350,2860031,29774,0.0889,0.12,False
https://www.bbc.com/news,server,10548,399509,103473,0.0264,9.81,False
https://news.ycombinator.com/,server,3838,34504,0,0.1112,0.0,False
https://todomvc.com/examples/react/dist/,client,86,645,0,0.1333,0.0,True
https://app.diagrams.net/,client,427,2759,0,0.1548,0.0,False
https://excalidraw.com/,client,32,6856,2538,0.0047,79.31,True
https://jsonformatter.org/,client,7773,45112,2131,0.1723,0.27,False
